Data;Data.X;Data.Y
AntonPaar.Orca.Common.DataTypes.Data;0;0
AntonPaar.Orca.Common.DataTypes.Data;1;0
AntonPaar.Orca.Common.DataTypes.Data;2;0
AntonPaar.Orca.Common.DataTypes.Data;3;0
AntonPaar.Orca.Common.DataTypes.Data;4;0
AntonPaar.Orca.Common.DataTypes.Data;5;0
AntonPaar.Orca.Common.DataTypes.Data;6;0
AntonPaar.Orca.Common.DataTypes.Data;7;0
AntonPaar.Orca.Common.DataTypes.Data;8;0
AntonPaar.Orca.Common.DataTypes.Data;9;0
AntonPaar.Orca.Common.DataTypes.Data;10;0
AntonPaar.Orca.Common.DataTypes.Data;11;0
AntonPaar.Orca.Common.DataTypes.Data;12;0
AntonPaar.Orca.Common.DataTypes.Data;13;0
AntonPaar.Orca.Common.DataTypes.Data;14;0
AntonPaar.Orca.Common.DataTypes.Data;15;0
AntonPaar.Orca.Common.DataTypes.Data;16;0
AntonPaar.Orca.Common.DataTypes.Data;17;0
AntonPaar.Orca.Common.DataTypes.Data;18;0
AntonPaar.Orca.Common.DataTypes.Data;19;0
AntonPaar.Orca.Common.DataTypes.Data;20;0
AntonPaar.Orca.Common.DataTypes.Data;21;0
AntonPaar.Orca.Common.DataTypes.Data;22;0
AntonPaar.Orca.Common.DataTypes.Data;23;0
AntonPaar.Orca.Common.DataTypes.Data;24;0
AntonPaar.Orca.Common.DataTypes.Data;25;0
AntonPaar.Orca.Common.DataTypes.Data;26;0
AntonPaar.Orca.Common.DataTypes.Data;27;0
AntonPaar.Orca.Common.DataTypes.Data;28;0
AntonPaar.Orca.Common.DataTypes.Data;29;0
AntonPaar.Orca.Common.DataTypes.Data;30;0
AntonPaar.Orca.Common.DataTypes.Data;31;0
AntonPaar.Orca.Common.DataTypes.Data;32;0
AntonPaar.Orca.Common.DataTypes.Data;33;0
AntonPaar.Orca.Common.DataTypes.Data;34;0
AntonPaar.Orca.Common.DataTypes.Data;35;0
AntonPaar.Orca.Common.DataTypes.Data;36;0
AntonPaar.Orca.Common.DataTypes.Data;37;0
AntonPaar.Orca.Common.DataTypes.Data;38;0
AntonPaar.Orca.Common.DataTypes.Data;39;0
AntonPaar.Orca.Common.DataTypes.Data;40;0
AntonPaar.Orca.Common.DataTypes.Data;41;0
AntonPaar.Orca.Common.DataTypes.Data;42;0
AntonPaar.Orca.Common.DataTypes.Data;43;0
AntonPaar.Orca.Common.DataTypes.Data;44;0
AntonPaar.Orca.Common.DataTypes.Data;45;0
AntonPaar.Orca.Common.DataTypes.Data;46;0
AntonPaar.Orca.Common.DataTypes.Data;47;0
AntonPaar.Orca.Common.DataTypes.Data;48;0
AntonPaar.Orca.Common.DataTypes.Data;49;0
AntonPaar.Orca.Common.DataTypes.Data;50;0
AntonPaar.Orca.Common.DataTypes.Data;51;0
AntonPaar.Orca.Common.DataTypes.Data;52;0
AntonPaar.Orca.Common.DataTypes.Data;53;0
AntonPaar.Orca.Common.DataTypes.Data;54;0
AntonPaar.Orca.Common.DataTypes.Data;55;0
AntonPaar.Orca.Common.DataTypes.Data;56;0
AntonPaar.Orca.Common.DataTypes.Data;57;0
AntonPaar.Orca.Common.DataTypes.Data;58;0
AntonPaar.Orca.Common.DataTypes.Data;59;0
AntonPaar.Orca.Common.DataTypes.Data;60;0
AntonPaar.Orca.Common.DataTypes.Data;61;0
AntonPaar.Orca.Common.DataTypes.Data;62;0
AntonPaar.Orca.Common.DataTypes.Data;63;0
AntonPaar.Orca.Common.DataTypes.Data;64;0
AntonPaar.Orca.Common.DataTypes.Data;65;0
AntonPaar.Orca.Common.DataTypes.Data;66;0
AntonPaar.Orca.Common.DataTypes.Data;67;0
AntonPaar.Orca.Common.DataTypes.Data;68;0
AntonPaar.Orca.Common.DataTypes.Data;69;0
AntonPaar.Orca.Common.DataTypes.Data;70;0
AntonPaar.Orca.Common.DataTypes.Data;71;0
AntonPaar.Orca.Common.DataTypes.Data;72;0
AntonPaar.Orca.Common.DataTypes.Data;73;0
AntonPaar.Orca.Common.DataTypes.Data;74;0
AntonPaar.Orca.Common.DataTypes.Data;75;0
AntonPaar.Orca.Common.DataTypes.Data;76;0
AntonPaar.Orca.Common.DataTypes.Data;77;0
AntonPaar.Orca.Common.DataTypes.Data;78;0
AntonPaar.Orca.Common.DataTypes.Data;79;0
AntonPaar.Orca.Common.DataTypes.Data;80;0
AntonPaar.Orca.Common.DataTypes.Data;81;0
AntonPaar.Orca.Common.DataTypes.Data;82;0
AntonPaar.Orca.Common.DataTypes.Data;83;0
AntonPaar.Orca.Common.DataTypes.Data;84;0
AntonPaar.Orca.Common.DataTypes.Data;85;0
AntonPaar.Orca.Common.DataTypes.Data;86;0
AntonPaar.Orca.Common.DataTypes.Data;87;0
AntonPaar.Orca.Common.DataTypes.Data;88;0
AntonPaar.Orca.Common.DataTypes.Data;89;0
AntonPaar.Orca.Common.DataTypes.Data;90;0
AntonPaar.Orca.Common.DataTypes.Data;91;0
AntonPaar.Orca.Common.DataTypes.Data;92;0
AntonPaar.Orca.Common.DataTypes.Data;93;0
AntonPaar.Orca.Common.DataTypes.Data;94;0
AntonPaar.Orca.Common.DataTypes.Data;95;0
AntonPaar.Orca.Common.DataTypes.Data;96;0
AntonPaar.Orca.Common.DataTypes.Data;97;0
AntonPaar.Orca.Common.DataTypes.Data;98;0
AntonPaar.Orca.Common.DataTypes.Data;99;0
AntonPaar.Orca.Common.DataTypes.Data;100;0
AntonPaar.Orca.Common.DataTypes.Data;101;0
AntonPaar.Orca.Common.DataTypes.Data;102;0
AntonPaar.Orca.Common.DataTypes.Data;103;0
AntonPaar.Orca.Common.DataTypes.Data;104;0
